pid,order,file_name,label,location,_date,month_str,year,type,notes,teams,game_info,player_info,inventoried
SB_News_Times_March_23_1914,139,SB_News_Times_March_23_1914.jpg,South Bend News Times,"South Bend, Indiana, US",23/03/1914,March,1914,JPG,,,,,n
SB_News_Times_March_23_1914,140,SB_News_Times_March_23_1914.jpg,South Bend News Times,"South Bend, Indiana, US",23/03/1914,March,1914,JPG,,,,,n
SB_News_Times_March_30_1914,141,SB_News_Times_March_30_1914.jpg,South Bend News Times,"South Bend, Indiana, US",30/03/1914,March,1914,JPG,,,,,n
SB_News_Times_March_30_1914,142,SB_News_Times_March_30_1914.jpg,South Bend News Times,"South Bend, Indiana, US",30/03/1914,March,1914,JPG,,,,,n
SB_News_Times_May_07_1914,143,SB_News_Times_May_07_1914.jpg,South Bend News Times,"South Bend, Indiana, US",07/05/1914,May,1914,JPG,,,,,n
SB_News_Times_May_07_1914,144,SB_News_Times_May_07_1914.jpg,South Bend News Times,"South Bend, Indiana, US",07/05/1914,May,1914,JPG,,,,,n
SB_News_Times_May_13_1917,145,SB_News_Times_May_13_1917.jpg,South Bend News Times,"South Bend, Indiana, US",13/05/1917,May,1917,JPG,,,,,n
SB_News_Times_May_13_1917,146,SB_News_Times_May_13_1917.jpg,South Bend News Times,"South Bend, Indiana, US",13/05/1917,May,1917,JPG,,,,,n
SB_News_Times_May_14_1917,147,SB_News_Times_May_14_1917.jpg,South Bend News Times,"South Bend, Indiana, US",14/05/1917,May,1917,JPG,,,,,n
SB_News_Times_May_14_1917,148,SB_News_Times_May_14_1917.jpg,South Bend News Times,"South Bend, Indiana, US",14/05/1917,May,1917,JPG,,,,,n
SB_News_Times_May_18_1917,149,SB_News_Times_May_18_1917.jpg,South Bend News Times,"South Bend, Indiana, US",18/05/1917,May,1917,JPG,,,,,n
SB_News_Times_May_18_1917,150,SB_News_Times_May_18_1917.jpg,South Bend News Times,"South Bend, Indiana, US",18/05/1917,May,1917,JPG,,,,,n
SB_News_Times_May_29_1914,151,SB_News_Times_May_29_1914.jpg,South Bend News Times,"South Bend, Indiana, US",29/05/1914,May,1914,JPG,,,,,n
SB_News_Times_May_29_1914,152,SB_News_Times_May_29_1914.jpg,South Bend News Times,"South Bend, Indiana, US",29/05/1914,May,1914,JPG,,,,,n
SB_News_Times_May_30_1920,153,SB_News_Times_May_30_1920.jpg,South Bend News Times,"South Bend, Indiana, US",30/05/1920,May,1920,JPG,,,,,n
SB_News_Times_May_30_1920,154,SB_News_Times_May_30_1920.jpg,South Bend News Times,"South Bend, Indiana, US",30/05/1920,May,1920,JPG,,,,,n
SB_News_Times_November_29_1913,155,SB_News_Times_November_29_1913.jpg,South Bend News Times,"South Bend, Indiana, US",29/11/1913,November,1913,JPG,,,,,n
SB_News_Times_November_29_1913,156,SB_News_Times_November_29_1913.jpg,South Bend News Times,"South Bend, Indiana, US",29/11/1913,November,1913,JPG,,,,,n
SB_News_Times_October_06_1913,157,SB_News_Times_October_06_1913.jpg,South Bend News Times,"South Bend, Indiana, US",06/10/1913,October,1913,JPG,,,,,n
