pid,file_name,label,location,_date,month_str,year,type,notes,teams,game_info,player_info,inventoried
SB_Tribune_August_1_1903,SB_Tribune_August_1_1903.jpg,South Bend Tribune,"South Bend, Indiana, US",1/8/1903,August,1903,JPG,,,,,n
SB_Tribune_August_10_1903_(1),SB_Tribune_August_10_1903_(1).jpg,South Bend Tribune,"South Bend, Indiana, US",10/8/1903,August,1903,JPG,,,,,n
SB_Tribune_August_10_1903_(2),SB_Tribune_August_10_1903_(2).jpg,South Bend Tribune,"South Bend, Indiana, US",10/8/1903,August,1903,JPG,,,,,n
SB_Tribune_August_10_1903,SB_Tribune_August_10_1903.jpg,South Bend Tribune,"South Bend, Indiana, US",10/8/1903,August,1903,JPG,,,,,n
SB_Tribune_August_12_1902,SB_Tribune_August_12_1902.jpg,South Bend Tribune,"South Bend, Indiana, US",12/8/1902,August,1902,JPG,,,,,n
SB_Tribune_August_12_1903_3,SB_Tribune_August_12_1903_3.jpg,South Bend Tribune,"South Bend, Indiana, US",12/8/1903,August,1903,JPG,Pg. 3,,,,n
SB_Tribune_August_12_1903_7,SB_Tribune_August_12_1903_7.jpg,South Bend Tribune,"South Bend, Indiana, US",12/8/1903,August,1903,JPG,Pg. 7,,,,n
SB_Tribune_August_13_1903,SB_Tribune_August_13_1903.jpg,South Bend Tribune,"South Bend, Indiana, US",13/08/1903,August,1903,JPG,,,,,n
SB_Tribune_August_13_1904,SB_Tribune_August_13_1904.jpg,South Bend Tribune,"South Bend, Indiana, US",13/08/1904,August,1904,JPG,,,,,n
SB_Tribune_August_14_1902,SB_Tribune_August_14_1902.jpg,South Bend Tribune,"South Bend, Indiana, US",14/08/1902,August,1902,JPG,,,,,n
SB_Tribune_August_14_1903,SB_Tribune_August_14_1903.jpg,South Bend Tribune,"South Bend, Indiana, US",14/08/1903,August,1903,JPG,,,,,n
SB_Tribune_August_14_1919,SB_Tribune_August_14_1919.jpg,South Bend Tribune,"South Bend, Indiana, US",14/08/1919,August,1919,JPG,,,,,n
SB_Tribune_August_17_1904,SB_Tribune_August_17_1904.jpg,South Bend Tribune,"South Bend, Indiana, US",17/08/1904,August,1904,JPG,,,,,n
SB_Tribune_August_17_1940,SB_Tribune_August_17_1940.jpg,South Bend Tribune,"South Bend, Indiana, US",17/08/1940,August,1940,JPG,,,,,n
SB_Tribune_August_18_1904,SB_Tribune_August_18_1904.jpg,South Bend Tribune,"South Bend, Indiana, US",18/08/1904,August,1904,JPG,,,,,n
SB_Tribune_August_2_1902,SB_Tribune_August_2_1902.jpg,South Bend Tribune,"South Bend, Indiana, US",2/8/1902,August,1902,JPG,,,,,n
SB_Tribune_August_21_1902,SB_Tribune_August_21_1902.jpg,South Bend Tribune,"South Bend, Indiana, US",21/08/1902,August,1902,JPG,,,,,n
SB_Tribune_August_23_1902,SB_Tribune_August_23_1902.jpg,South Bend Tribune,"South Bend, Indiana, US",23/08/1902,August,1902,JPG,,,,,n
SB_Tribune_August_24_1903,SB_Tribune_August_24_1903.jpg,South Bend Tribune,"South Bend, Indiana, US",24/08/1903,August,1903,JPG,,,,,n
SB_Tribune_August_26_1902,SB_Tribune_August_26_1902.jpg,South Bend Tribune,"South Bend, Indiana, US",26/08/1902,August,1902,JPG,,,,,n
SB_Tribune_August_27_1898,SB_Tribune_August_27_1898.jpg,South Bend Tribune,"South Bend, Indiana, US",27/08/1898,August,1898,JPG,,,,,n
SB_Tribune_August_29_1903,SB_Tribune_August_29_1903.jpg,South Bend Tribune,"South Bend, Indiana, US",29/08/1903,August,1903,JPG,,,,,n
SB_Tribune_August_31_1903_(1),SB_Tribune_August_31_1903_(1).jpg,South Bend Tribune,"South Bend, Indiana, US",31/08/1903,August,1903,JPG,,,,,n
SB_Tribune_August_31_1903,SB_Tribune_August_31_1903.jpg,South Bend Tribune,"South Bend, Indiana, US",31/08/1903,August,1903,JPG,,,,,n
SB_Tribune_August_5_1901_3,SB_Tribune_August_5_1901_3.jpg,South Bend Tribune,"South Bend, Indiana, US",5/8/1901,August,1901,JPG,Pg. 3,,,,n
SB_Tribune_August_5_1901_5,SB_Tribune_August_5_1901_5.jpg,South Bend Tribune,"South Bend, Indiana, US",5/8/1901,August,1901,JPG,Pg. 5,,,,n
SB_Tribune_August_5_1902,SB_Tribune_August_5_1902.jpg,South Bend Tribune,"South Bend, Indiana, US",5/8/1902,August,1902,JPG,,,,,n
SB_Tribune_August_5_1903,SB_Tribune_August_5_1903.jpg,South Bend Tribune,"South Bend, Indiana, US",5/8/1903,August,1903,JPG,,,,,n
SB_Tribune_August_6_1903,SB_Tribune_August_6_1903.jpg,South Bend Tribune,"South Bend, Indiana, US",6/8/1903,August,1903,JPG,,,,,n
